plate,well,site,compound,batch_id,path,moa
P015076,C10,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s1_w62B10EBFE-E6C3-4812-A4AE-9F3132A8788E.npy,cyclooxygenase inhibitor
P015076,C10,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s2_w618B6FDD6-7459-4733-89B1-DDD4F8ABBC0C.npy,cyclooxygenase inhibitor
P015076,C10,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s3_w69AA3B3E9-CDA2-44A0-A82C-ECEC6933E4E2.npy,cyclooxygenase inhibitor
P015076,C10,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s4_w69E44BFF8-4ED9-4F7D-82DE-FD361EFA5F2F.npy,cyclooxygenase inhibitor
P015076,C10,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s5_w613AEA32C-DFEF-4691-AF39-3129E71FF4FF.npy,cyclooxygenase inhibitor
P015076,D04,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s1_w6F1FF10C0-23C6-4FA0-A1BA-3187F3FB9A48.npy,cyclooxygenase inhibitor
P015076,D04,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s2_w64A08E1D1-3AA0-4872-8FA4-313661E14722.npy,cyclooxygenase inhibitor
P015076,D04,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s3_w63BB06D52-44ED-4A7F-AE15-659A10C98AEC.npy,cyclooxygenase inhibitor
P015076,D04,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s4_w628814866-C175-4243-B429-44DC890FF1F7.npy,cyclooxygenase inhibitor
P015076,D04,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s5_w6F920EEE1-FA53-4BEF-804D-1D5D41B6B435.npy,cyclooxygenase inhibitor
P015076,H08,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s1_w6E33D0A9C-81FA-4522-9FE0-B8B8C4A9B776.npy,retinoid receptor agonist
P015076,H08,s2,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s2_w64BB45389-BF39-4EB1-B214-73FDEA143B1B.npy,retinoid receptor agonist
P015076,H08,s3,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s3_w67F5BB2A7-933A-45FF-99B8-D624223F671C.npy,retinoid receptor agonist
P015076,H08,s4,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s4_w69B34D7C8-5873-4213-9C3D-5089D8EBE9DE.npy,retinoid receptor agonist
P015076,H08,s5,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s5_w630BFC0D3-544F-4902-8F6B-4ADC7F2C1D11.npy,retinoid receptor agonist
P015076,H12,s1,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s1_w67DFE6CFA-FC32-4995-9F8A-8AFFE2C7E6B7.npy,glucocorticoid receptor agonist
P015076,H12,s2,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s2_w66CFA94B8-6F62-4512-B3E7-637C0187C9A8.npy,glucocorticoid receptor agonist
P015076,H12,s3,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s3_w66FBB53C9-EA6D-4414-9011-C692AF138EAD.npy,glucocorticoid receptor agonist
P015076,H12,s4,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s4_w6FB938C98-E0E1-47E7-9B13-447EC324AA9D.npy,glucocorticoid receptor agonist
P015076,H12,s5,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s5_w6CA0A8652-9D5D-42CF-AC1C-8372A274E2E2.npy,glucocorticoid receptor agonist
P015076,H23,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s1_w6D2BD20B5-CAC7-4C95-8DF0-2B5696F74A0D.npy,cyclooxygenase inhibitor
P015076,H23,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s2_w637FB5213-6660-4A39-AC18-5D11C9509674.npy,cyclooxygenase inhibitor
P015076,H23,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s3_w65DC18783-07F4-4501-905A-DDC5562C24CC.npy,cyclooxygenase inhibitor
P015076,H23,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s4_w65EA598DA-BF2F-450D-A3E7-1018141A3FD6.npy,cyclooxygenase inhibitor
P015076,H23,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s5_w6DD8DBFCB-A571-492D-B81F-C9D4E24D9199.npy,cyclooxygenase inhibitor
P015076,I03,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s1_w6BE51130E-4A78-48DD-847C-36AE053943F1.npy,retinoid receptor agonist
P015076,I03,s2,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s2_w64D90E375-68EF-47AF-BB96-D166F6A29F3F.npy,retinoid receptor agonist
P015076,I03,s3,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s3_w63F764DFF-F49D-4152-BC42-977EBA0BD00E.npy,retinoid receptor agonist
P015076,I03,s4,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s4_w640B020EC-5F7A-4664-83C6-41CB95FA82FA.npy,retinoid receptor agonist
P015076,I03,s5,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s5_w6FBE6EC83-2FD7-45E0-AD4C-409EDF5346EB.npy,retinoid receptor agonist
P015076,K05,s1,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s1_w6907FD970-96AA-4DBE-B179-B4C9857E9F1C.npy,glucocorticoid receptor agonist
P015076,K05,s2,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s2_w6E27D5ACF-E8D8-4193-8212-6CE1A708A03B.npy,glucocorticoid receptor agonist
P015076,K05,s3,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s3_w653B45324-33E3-4F09-B67C-7BF02D9DCD53.npy,glucocorticoid receptor agonist
P015076,K05,s4,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s4_w65E0BC65F-CE4D-4B28-A8B4-1276C5D894F4.npy,glucocorticoid receptor agonist
P015076,K05,s5,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s5_w635117D1D-53F1-4103-A7D3-BBAE6E64EA36.npy,glucocorticoid receptor agonist
P015076,M06,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s1_w6D3F10E98-B8AF-4572-8775-53564F204502.npy,retinoid receptor agonist
P015076,M06,s2,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s2_w61BF0EBE7-3B0A-4ACE-AA55-786A98834BB6.npy,retinoid receptor agonist
P015076,M06,s3,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s3_w6FB32467C-2413-4955-9AC2-DF5725093D02.npy,retinoid receptor agonist
