plate,well,site,bf_site,compound,batch_id,path,moa
P015076,C10,s2,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C10_s2_w5ABBD8A6B-05B1-4D92-8513-22B4883CBF8D.npy,cyclooxygenase inhibitor
P015076,C10,s4,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C10_s4_w50101FC9F-C932-43EA-939B-FD99B0011E83.npy,cyclooxygenase inhibitor
P015076,C10,s5,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C10_s5_w57005BA15-C4F4-4C7D-9CDD-F296CD4FCA7A.npy,cyclooxygenase inhibitor
P015076,C10,s6,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C10_s6_w532D16F11-751C-4CB5-BAB6-746EE58431A5.npy,cyclooxygenase inhibitor
P015076,C10,s8,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C10_s8_w5634307BD-BDF3-4ED7-94ED-E6D8220F37AE.npy,cyclooxygenase inhibitor
P015076,D04,s2,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D04_s2_w575AABB8F-EB54-4876-921D-1E47DC5C1D9E.npy,cyclooxygenase inhibitor
P015076,D04,s4,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D04_s4_w538C3A60A-F66C-48DF-9F45-8BA117A280A9.npy,cyclooxygenase inhibitor
P015076,D04,s5,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D04_s5_w55274E241-8D12-47D1-830B-103CB6D35B69.npy,cyclooxygenase inhibitor
P015076,D04,s6,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D04_s6_w593A9D671-F380-411C-AC4E-20CD43C08E40.npy,cyclooxygenase inhibitor
P015076,D04,s8,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D04_s8_w5D1DD5AD3-4FD2-4F7B-9297-81C703D2527E.npy,cyclooxygenase inhibitor
