plate,well,site,bf_site,compound,path,moa
P015076,B16,s2,s1,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w5E9AA98BE-5838-435D-90EF-3BEBC69943A4.npy,retinoid receptor agonist
P015076,B16,s4,s2,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w5D6F3E1E4-A788-437C-890B-4C0A11838769.npy,retinoid receptor agonist
P015076,B16,s5,s3,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w518471902-5140-45F0-8489-0C13B891F9D2.npy,retinoid receptor agonist
P015076,B16,s6,s4,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w507C8B731-2A4C-42CC-886D-42FB9734E900.npy,retinoid receptor agonist
P015076,B16,s8,s5,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w51B94D889-5F35-4C7F-8296-9FFEE209BB0C.npy,retinoid receptor agonist
P015076,C21,s2,s1,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w55E6C0349-E79D-48E8-9210-3781E808F910.npy,retinoid receptor agonist
P015076,C21,s4,s2,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w54F1781DB-DC07-473E-AC5C-99E48C26B357.npy,retinoid receptor agonist
P015076,C21,s5,s3,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w5EC3C937C-FB0B-487C-97BB-20C90F2C1835.npy,retinoid receptor agonist
P015076,C21,s6,s4,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w5ED77FB1E-84B7-4E39-A519-E5592F39660D.npy,retinoid receptor agonist
P015076,C21,s8,s5,CBK277913,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w5FAC1A628-F48A-458C-BD33-97A3D7A48469.npy,retinoid receptor agonist
P015076,D22,s2,s1,CBK201029,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w548DD63AB-5B6B-49CA-ACBA-EC009E390F74.npy,protein synthesis inhibitor
P015076,D22,s4,s2,CBK201029,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w5BA4C8416-D209-4886-B7CD-52A925996A5B.npy,protein synthesis inhibitor
P015076,D22,s5,s3,CBK201029,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w5BF208B73-474A-4C95-B4B6-F2B89FA81AFF.npy,protein synthesis inhibitor
P015076,D22,s6,s4,CBK201029,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w5681F8705-BA06-4390-8AAD-FF89E8909AF5.npy,protein synthesis inhibitor
P015076,D22,s8,s5,CBK201029,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w589DD2FC1-92D5-4585-90C7-555469DBE124.npy,protein synthesis inhibitor
P015076,H08,s2,s1,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w5DE5095A9-1CE9-445A-A78F-AB4CB3ECDBD3.npy,retinoid receptor agonist
P015076,H08,s4,s2,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w573D23AF4-FF16-4250-8159-5D791C4DAE97.npy,retinoid receptor agonist
P015076,H08,s5,s3,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w5A6AFB5DD-B725-4220-8153-FE79D4DE39FA.npy,retinoid receptor agonist
P015076,H08,s6,s4,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w56D474DDF-4DCC-4EB1-9F9C-4E93E77C2B4F.npy,retinoid receptor agonist
P015076,H08,s8,s5,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w5B684CCE2-0987-4BA6-BF39-0A9AA784395C.npy,retinoid receptor agonist
P015076,I03,s2,s1,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s2_w52802E35C-3BA1-4E27-839D-F65349452ABC.npy,retinoid receptor agonist
P015076,I03,s4,s2,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s4_w5612032B2-AAD2-46F3-A966-F6FDB84DD123.npy,retinoid receptor agonist
P015076,I03,s5,s3,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s5_w5DA80562F-F3A7-42BC-8010-EB48EE0F31D5.npy,retinoid receptor agonist
P015076,I03,s6,s4,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s6_w5ABB228A4-273C-43C1-B11F-7CBDDFB0DCF5.npy,retinoid receptor agonist
P015076,I03,s8,s5,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s8_w5C2E75FD3-1FE6-4E2E-A70C-DA17E5D466AA.npy,retinoid receptor agonist
