plate,well,site,compound,path,moa
P015098,B23,s1,CBK307964,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_B23_s1_w685ACF994-3890-4253-A8C3-9565CEEB3A4F.npy,tubulin polymerization inhibitor
P015098,M18,s1,CBK200945,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_M18_s1_w669A01E72-B94B-4A06-9E6A-EDFDFC5C5674.npy,tubulin polymerization inhibitor
P015099,J19,s1,CBK309391,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_J19_s1_w6B9AAD5E7-12B6-43AD-9E77-8EC66B52249F.npy,tubulin polymerization inhibitor
P015099,L22,s3,CBK290588,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_L22_s3_w6BF4EFA50-6FA1-4B4F-A03F-A9302A876922.npy,retinoid receptor agonist
P015092,F19,s3,CBK290717,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_F19_s3_w614CB6D7B-158E-4892-8A83-51216FEC4134.npy,JAK inhibitor
P015098,C13,s2,CBK041506,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_C13_s2_w6A390989E-6C7D-431E-B2C6-F45110D4D64D.npy,topoisomerase inhibitor
P015098,E06,s4,CBK011613,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_E06_s4_w63449B8F7-F6A6-4A8F-8D8C-07B51BA74561.npy,retinoid receptor agonist
P015099,G08,s4,CBK309538,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_G08_s4_w67D899171-B13E-499B-95DC-7EDDC855C506.npy,protein synthesis inhibitor
P015090,O05,s2,CBK277934,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_O05_s2_w634CD69B1-0C7B-48E4-A75E-9DA570AC37C7.npy,HSP inhibitor
P015085,K14,s1,CBK041779,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_K14_s1_w6E95505F1-86B6-40F6-BAF7-1D966ED51130.npy,ATPase inhibitor
P015093,K10,s1,CBK293875,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015093-U2OS-48h-P9-L2-TL_K10_s1_w64890CD70-978C-4834-9B6C-2367AAF55824.npy,JAK inhibitor
P015085,C23,s2,CBK288285,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_C23_s2_w67634477D-E246-4CEE-98A1-FD53DB3A0C96.npy,Aurora kinase inhibitor
P015090,C15,s5,CBK308260,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C15_s5_w675A91183-2374-49B3-B1F2-B6AC4C4DF779.npy,HDAC inhibitor
P015081,N19,s4,CBK200949,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015081-U2OS-48h-P3-L2-TL_N19_s4_w67E5A48CC-D2EF-4FFA-AD96-8B7A385B8E58.npy,topoisomerase inhibitor
P015090,I15,s1,CBK289839,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_I15_s1_w668FBF792-9624-420B-8255-B17D8CDCBD3F.npy,HSP inhibitor
P015085,K09,s4,CBK288349,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_K09_s4_w62BB550AC-E396-4EB7-93F4-E8B7761EA5D5.npy,Aurora kinase inhibitor
P015098,N18,s5,CBK309084,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_N18_s5_w634F08216-2184-47F7-9044-946D8EF72DD7.npy,topoisomerase inhibitor
P015092,G04,s4,CBK288347,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_G04_s4_w6A645C228-F11F-4154-8D66-3DCD4FCE41DF.npy,JAK inhibitor
P015094,O14,s5,CBK308321,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_O14_s5_w6F4AF6539-5F37-4D81-A4E2-3A091566BD07.npy,PARP inhibitor
