plate,well,site,compound,path,moa
bfmoalive57-AG-48h-P3-L2,G15,s5,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G15_s5_w123B80C4B-EEBD-421C-A3DE-70D208DD2F14.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,M14,s4,c36,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M14_s4_w157E91F3E-BA91-4241-8586-2A1709DDE0B2.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,H15,s2,c41,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H15_s2_w18D60234A-5A29-4D61-A0C3-97B1341CFA83.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,O09,s5,c19,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O09_s5_w1C8C4A911-A1C5-4900-9FB0-24447916A38E.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,I10,s3,c49,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I10_s3_w148CF0CD7-48B4-400A-8DEE-69C4F28AFDF9.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,D02,s4,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D02_s4_w1830113CF-E390-4713-B52E-52319C391147.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,F03,s2,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F03_s2_w1EB3620C0-7062-4C37-80A0-BA5930AD1678.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,J11,s1,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J11_s1_w16209EC48-2869-45CD-B61A-DEDDE03EF7C0.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,B12,s5,c12,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B12_s5_w1D72C8093-E57E-417E-9BA2-ACEB56255455.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,C05,s4,c10,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C05_s4_w17B9B9C9D-642A-4215-A3F2-7FF00A5DB607.npy,protein synthesis inhibitor
