plate,well,site,compound,path,moa
bfmoalive57-AG-48h-P3-L2,K08,s4,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K08_s4_w134FAED98-3DDB-41C8-B2E8-F4A133858AC5.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,B20,s2,c30,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B20_s2_w113A1AD52-9EFA-494F-B608-66AB288EBE42.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,C11,s1,c4,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C11_s1_w195CC7B52-9A3B-4B57-9F75-66F9F3EA2E00.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,J06,s2,c4,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J06_s2_w19C61F100-240C-486D-B1F1-E5B3E8F9AF73.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,B08,s4,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B08_s4_w113E19F73-260C-4602-BC00-94A9CCA3CC42.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,N16,s5,c39,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N16_s5_w1189F02E8-6684-45E8-B3FE-0EB7D2417BF8.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,J13,s3,c1,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J13_s3_w1BB62E672-ACFA-43C6-B032-4AA4762A119E.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,I02,s1,c25,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I02_s1_w12497561C-A2F9-41AC-B0AC-707721002122.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,M22,s5,c21,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M22_s5_w1DBB51D2F-4A04-4083-A596-9A9938D2FF90.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,G13,s5,c9,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G13_s5_w1BAA40F65-90BF-4B97-82CC-46F59AA33267.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,M12,s1,c5,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M12_s1_w1CD577986-F979-45D6-8ACD-EED8B8ABB0F4.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,E11,s5,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E11_s5_w1F617B852-91A3-42FA-BB66-62352B390B3E.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,K04,s5,c50,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K04_s5_w1EAF10208-6EC1-4345-A55C-3EE38A0578EC.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,N20,s2,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N20_s2_w13C3F0850-1046-4EA9-BF72-D242E8AE88A8.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L02,s1,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L02_s1_w18E2386DB-38C2-4541-AFB3-4779C28D683F.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L04,s3,c25,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L04_s3_w1C1AAC00D-A5C5-4ADE-B54C-806F752A39F1.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,E08,s4,c6,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E08_s4_w14A1D7837-E854-467A-9C21-3103D6B59054.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,I12,s2,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I12_s2_w11A40EEF2-52BD-4C1B-9174-41A67A0B0F08.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,C18,s1,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C18_s1_w115EEB956-2F5C-484F-88CE-F602FEDAF1FF.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,E23,s5,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E23_s5_w13A5328B9-192B-4A2A-AEAF-9EA1A745C83A.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,C11,s3,c4,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C11_s3_w1172E8D8E-3F72-4CA4-907C-6912A73663EB.npy,HDAC inhibitor
